segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
1133,Cicero,41.851246,-87.74443,41.836746,-87.743935,CICERO,"LINESTRING (438204.4603379156 4633528.2932306575, 438231.68143523816 4631918.084052451)"
1134,Cicero,41.865963,-87.74499,41.851246,-87.74443,CICERO,"LINESTRING (438172.40587444796 4635162.692178507, 438204.4603379156 4633528.2932306575)"
1182,Broadway,41.985462,-87.65994,41.998207,-87.66017,BROADWAY,"LINESTRING (445332.55354034144 4648372.72119863, 445324.5022797985 4649787.927372374)"
1217,Halsted,41.847195,-87.64629,41.852646,-87.6463,HALSTED,"LINESTRING (446347.5084647938 4633012.532921997, 446351.43017115886 4633617.7668736465)"
1218,Halsted,41.852646,-87.6463,41.859913,-87.646515,HALSTED,"LINESTRING (446351.43017115886 4633617.7668736465, 446339.77266387525 4634424.732319867)"
1219,Halsted,41.859913,-87.646515,41.867153,-87.64673,HALSTED,"LINESTRING (446339.77266387525 4634424.732319867, 446328.0977041037 4635228.734086807)"
1252,Halsted,41.847195,-87.646675,41.838047,-87.64647,HALSTED,"LINESTRING (446315.8403542013 4633012.771317017, 446325.2964008899 4631997.010821074)"
1253,Halsted,41.852646,-87.64668,41.847195,-87.646675,HALSTED,"LINESTRING (446319.76474939066 4633618.005276562, 446315.8403542013 4633012.771317017)"
1254,Halsted,41.859913,-87.6469,41.852646,-87.64668,HALSTED,"LINESTRING (446308.11082688544 4634424.970808328, 446319.76474939066 4633618.005276562)"
1255,Halsted,41.867153,-87.64711,41.859913,-87.6469,HALSTED,"LINESTRING (446296.439439229 4635228.972660779, 446308.11082688544 4634424.970808328)"
1257,Halsted,41.881775,-87.64755,41.874336,-87.647316,HALSTED,"LINESTRING (446271.9634523436 4636852.659906556, 446285.3580965836 4636026.617766889)"
1258,Halsted,41.891186,-87.647804,41.881775,-87.64755,HALSTED,"LINESTRING (446258.9615010819 4637897.681006251, 446271.9634523436 4636852.659906556)"
1280,Columbus,41.884415,-87.620544,41.891003,-87.620125,COLUMBUS,"LINESTRING (448514.9763911166 4637129.190626187, 448555.07700303604 4637860.385453195)"
